text,label
I'm glad lgbt black folk n poc in the manga holy shit.,7
"Eid Mubarak Everyone!!! ❤ May Allah unite all Muslims, show us the right path, and bless us with good health.❣",7
"As a woman of color in entertainment I've had so many doors slammed in my face over the years. I am over the moon that brown girls all over the world will get to see that if they work hard & develop their talents, they too can aspire to @user heights. 💪🏾 @LateNightMovie {URL}",7
"at this point im pretty sure I'm a lesbian and idk. it's nice that we have a day and when girls who are only friends post like ""aha my gf 🤪"" it kinda ,,, idk like perpetuates the stereotype that women don't really like women?? idk if I'm making any sense",7
"y'all really out here only fucking girls in their pussy? utilise your fucktoys and go for the trio. fuck her cunt then shove it in her mouth so she can taste herself off your dick, have her spit on it after and shove it in her ass so you watch her cry & scream for your enjoyment",0
Don't you dare playing #gendercard ! Thousands of poor Pak Women are in Jail for minor theft charges.. #NAB @BBhuttoZardari,7
Great honour to be elected President for the year for #Sydney 's @user with a great committee - check out our website at {URL} #LGBTQ #oralhistory #queerhistory {URL},7
"Mothers, don't let anyone make you feel guilty for being a stay-at-home mother. You may not be bringing in a paycheck, but you are raising the next generation, keeping them healthy, & giving them good character and values. This is invaluable work! You are right where you belong.",7
@TarekFatah WE ARE PROUD OF YOU SARFARAZ FOR STICKING TO OUR TRADITIONAL ATTIRE WHILE REPRESENTING US GLOBALLY MORE POWER TO YOU🙌🙌 #PakistanZindabad 🇵🇰❤️ {URL},7
Look at this fucking pussy {URL},0
If yall faggots waste votes on this clownery im taking your rights back {URL},2
"India has raised 270 million people out of Multi-dimensional poverty, halving the incidence of MDP - presenting India's progress in #SDG at #CS75 @UNESCAP {URL}",7
Iran's New Global Terrorist Network {URL},7
"Happy pride month, remember that trans women of color were at the forefront of the struggle and they still are",7
Some of you need girlfriends to hold you down. Honestly. You're a menace to society. You being single is very bad. Very very bad. The whore in you will unleash unspeakable evil.,0
"imagine thinking rape jokes are funny, using the f & r slur and probably even say the n word while youre at it stupid cunt",0
"Happy #PRIDEMONTH⁠ ⁠⁠ ⁠! No matter how you identify or who you happen to love, you are celebrated! Your feelings are real. Your identity is valid. YOU are loved and accepted just as you are. Be proud!! RT to show your support for the #LGBT+ community. #FridayMotivation {URL}",7
A close up from last night #panties #thighs #femboy #femboi #dildo #anal #thighhigh #socks #stockings #gay #bi #crossdresser #crossdressing #twink {URL},7
@Sharmistha_GK Further @user the rape wouldn't have happened if that bus was full of women! @ArvindKejriwal doesn't control the police but he sure knows how to put his limited resources to the best use.,7
a real crazy bitch is going thru it 2nite..... I need luv n attention 🥵 {URL},7
Watch out for the Muslims. Some of them are really evil. They want to take over our country and kill those who don't convert.,3
"Finger it out and feed it to your pathetic, black cock worshipping cuck of a husband {URL}",0
Barbarians produced by Islam who gang raped Girija Tikku and then her body axed into parts and thrown on road . So they deserve divine punishment for committing heinous crimes like genocide of Hindus .,3
Let me fuck your wallet and mind like you wish you could fuck your wife! 😈#findom #finsub #cuck #humiliation #blackmail #finpig #cashmaster,0
Shorty a baddie everywhere we go she got niggas breaking they necks {URL},7
Hundreds of French speaking migrants from the Congo flood the San Antonio area seeking asylum. The city is not prepared to handle the influx. {URL} {URL},7
@rezaaslan PHUCK YOU REZA! PHUCK YOU AND YOUR ENTIRE FAMILY AND EVERY SINGLE UNBORN IN YOUR FAMILY! 🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕 Is that totally UN-PC FOR YOU @rezaaslan to understand you LOW LIFE PIECE OF SH*T,0
"to the white person who drove behind me in a white polo, i saw u eating ur own snot",7
#LordKabirJi Holy Quran says that Kabir is the supreme god Quran Sharif - surat al furqan 25:52 Kabir only is the supreme God and remain rigid for Allah Kabir . Read spritiual book gyan ganga and watch sadhna tv at 7:30pm @japna_p {URL},7
"@user Grew up in non-denom church plants with Reformed leanings, but very informal in orthopraxy. Have learned to appreciate my denominational brothers and sisters liturgy, but ultimately want a clear orthodox Gospel central to whatever the ministry.",7
@henryrodgersdc Leftist Democrats are so racist. They'll demand you should be fired or quit your job if you don't have the right skin color.,7
"This is the guy organizing the ""straight pride parade"" in Boston {URL}",7
I wanna rob a rich white man.,7
@user @user @IlhanMN Opposing Israel is NOT opposing Jews.,7
These #NorthKorean defectors were sold into #China as cybersex slaves. Then they escaped {URL},7
"Once again for y'all in the back, hoes mad",7
Fck those niggas,1
Really happy to pipp #Kargil war hero Satpal Singh as ASI. Only feel sorry he didn't get his due earlier. We've decided to come out with policy to prevent such injustice in future. It'll ensure 1-rank promotion for gallantry award winning defence & police personnel from Punjab. {URL},7
"@user @user It has come down to this, kill or be killed. The evil ones who planned the flooding of Western nations full of Muslims are the real sons of Satan. Discover who is the mastermind behind this and you know who your real enemy is. It is not the Demonrats, they are a minor player.",3
"If we're gonna do this, the narrative SHOULD be, ""if WW were as excited to vote 4 the first WW candidate as black voters were in 2008/12, 45 wouldn't have gotten elected"". If you want to do this, there is your damn story. But no, white voters can never be held accountable but...",7
If you're bad built its ok cause some nigga still gone try to fuck,7
